Type,Comment,Value
url,Formbook botnet C2 (confidence level: 50%),http://www.zijyvdl.xyz/b101/
url,Unknown malware botnet C2 (confidence level: 100%),http://142.17.194.77:8015/supershell/login
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f752ebbd.store
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),123.56.252.127|8013
url,Formbook botnet C2 (confidence level: 50%),http://www.tacadaolarbrasil.shop/da16/
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),123.58.220.204|8888
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),83.221.176.123|40500
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f0a0efe3.shop
domain,ClearFake botnet C2 domain (confidence level: 50%),heck.oyiui.site
url,Unknown malware botnet C2 (confidence level: 100%),http://131.202.167.84:8015/supershell/login
domain,Lumma Stealer payload delivery domain (confidence level: 100%),free3dmaxmodel.com
domain,CryptBot botnet C2 domain (confidence level: 100%),elvnpp11sb.top
domain,ClearFake payload delivery domain (confidence level: 100%),check.agility.website
domain,Amadey botnet C2 domain (confidence level: 100%),specificsecurity.ru
url,Lumma Stealer botnet C2 (confidence level: 75%),https://currencarjh.click/api
url,Stealc payload delivery URL (confidence level: 50%),http://188.130.207.115/e17d80dfc540932e/mozglue.dll
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),5.235.167.139|40500
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),176.111.216.82|8080
domain,Formbook botnet C2 domain (confidence level: 50%),www.yguncepmobil.sbs
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),64.185.233.166|8688
domain,DarkWatchman botnet C2 domain (confidence level: 100%),d3b79f13.shop
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),ingreem-eilish.biz
url,Formbook botnet C2 (confidence level: 50%),http://www.hristopherdecarlo.realtor/ty25/
domain,XWorm botnet C2 domain (confidence level: 100%),download-labs.gl.at.ply.gg
domain,ClearFake payload delivery domain (confidence level: 100%),check.byzi.site
domain,Lumma Stealer payload delivery domain (confidence level: 100%),botanicallandscapes.shop
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 75%),47.90.155.109|53
domain,BumbleBee botnet C2 domain (confidence level: 100%),nsmdrrzxjp.click
url,Latrodectus botnet C2 (confidence level: 100%),https://apworsindos.com/test/
domain,Formbook botnet C2 domain (confidence level: 50%),www.araaltheeb.net
domain,DarkWatchman botnet C2 domain (confidence level: 100%),ff9f2202.space
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fd9d4f58.fun
domain,Formbook botnet C2 domain (confidence level: 50%),pickleballgiant.info
url,Coper botnet C2 (confidence level: 100%),https://stormyclouds.xyz/yte5mzq1zwrkzjy1/
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),213.230.121.236|40500
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),18.228.43.251|1912
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),45.149.241.39|2222
domain,DarkWatchman botnet C2 domain (confidence level: 100%),4e577395.store
domain,Phorpiex botnet C2 domain (confidence level: 50%),iriototooeuwoei.ru
domain,BumbleBee botnet C2 domain (confidence level: 100%),roc72ievev.click
domain,BumbleBee botnet C2 domain (confidence level: 100%),gxr2xu29ge.click
ip-dst|port,DarkComet botnet C2 server (confidence level: 50%),5.178.3.137|1604
domain,RedTail botnet C2 domain (confidence level: 100%),moneroed.net
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),94.156.167.86|2000
url,Formbook botnet C2 (confidence level: 50%),http://www.nlinespankkifiwebsoft.shop/ty25/
domain,DarkWatchman botnet C2 domain (confidence level: 100%),f7bb6e0d.online
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),172.191.149.124|8808
md5,Trigona payload (confidence level: 50%),b2207b0c5793df85dd216dfbf9c2315d
domain,Formbook botnet C2 domain (confidence level: 50%),www.arwrapping-us-44807679.live
domain,BumbleBee botnet C2 domain (confidence level: 100%),xmjalyvg92.click
ip-dst|port,Cobalt Strike botnet C2 server (confidence level: 100%),116.205.98.214|8676
domain,Formbook botnet C2 domain (confidence level: 50%),www.ltraspin777.click
url,DCRat botnet C2 (confidence level: 100%),http://723499cm.shnyash.ru/pollupdategameapiwindowsdownloads.php
domain,DarkWatchman botnet C2 domain (confidence level: 100%),fca7c188.space
domain,ClearFake botnet C2 domain (confidence level: 100%),recaptcha-verify-9n.pages.dev
domain,CyberGate botnet C2 domain (confidence level: 100%),fddf.no-ip.biz
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),188.240.100.98|40500
md5,Unknown malware payload (confidence level: 50%),ca9b8df227469c7e6d745cc267db80ba
domain,BumbleBee botnet C2 domain (confidence level: 100%),96gv0kvbxb.click
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),154.70.99.94|40500
domain,Havoc botnet C2 domain (confidence level: 100%),accounts3.app-cloud.link
ip-dst|port,XWorm botnet C2 server (confidence level: 100%),176.96.137.181|1111
ip-dst|port,Eye Pyramid botnet C2 server (confidence level: 75%),93.82.29.21|8000
domain,Formbook botnet C2 domain (confidence level: 50%),www.eddingsopulentvow.beauty
ip-dst|port,FAKEUPDATES payload delivery server (confidence level: 100%),46.173.214.50|443
url,Formbook botnet C2 (confidence level: 50%),http://www.ractors-14208.bond/ty25/
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),217.30.162.41|40500
ip-dst|port,Havoc botnet C2 server (confidence level: 100%),195.211.190.134|443
domain,Lumma Stealer botnet C2 domain (confidence level: 100%),jitteryresuqi.click
ip-dst|port,Havoc botnet C2 server (confidence level: 50%),45.89.127.190|8081
ip-dst|port,AsyncRAT botnet C2 server (confidence level: 100%),185.208.156.153|1856
domain,Formbook botnet C2 domain (confidence level: 50%),www.artshop.lat
url,Vidar botnet C2 (confidence level: 100%),https://vikine.rest/
domain,FAKEUPDATES botnet C2 domain (confidence level: 50%),preview.jpainting.ca
domain,Formbook botnet C2 domain (confidence level: 50%),www.iaokai.lol
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),114.55.252.159|14782
ip-dst|port,Quasar RAT botnet C2 server (confidence level: 100%),12.75.114.52|4782
domain,Hook botnet C2 domain (confidence level: 100%),quirkypickle.world
ip-dst|port,NetSupportManager RAT botnet C2 server (confidence level: 100%),13.247.98.57|53073
ip-dst|port,DCRat botnet C2 server (confidence level: 100%),46.246.82.6|9000
domain,Astaroth botnet C2 domain (confidence level: 100%),brubenkil23.soniarocha.blog
url,ClearFake payload delivery URL (confidence level: 100%),https://check.owacq.site/gkcxv.google
url,Formbook botnet C2 (confidence level: 50%),http://www.gsn.xyz/da16/
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),94.230.231.157|40500
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),2.187.221.247|40500
url,Lumma Stealer botnet C2 (confidence level: 100%),https://noticesulk.click/api
ip-dst|port,Phorpiex botnet C2 server (confidence level: 50%),217.30.161.235|40500
url,Lumma Stealer botnet C2 (confidence level: 100%),https://softechio.cyou/api
domain,ClearFake botnet C2 domain (confidence level: 100%),recaptha-verify-7y.pages.dev
domain,Formbook botnet C2 domain (confidence level: 50%),www.iendalumora.shop
ip-dst|port,Unknown malware botnet C2 server (confidence level: 100%),57.129.70.62|443
url,Formbook botnet C2 (confidence level: 50%),http://www.elwincoastalcarpets.net/c07e/
